id;question;choice1;choice2;choice3;choice4;solution;qtype;solution_num;area;num_loc;num
1;Расположите реки Лена, Хуанхе и Лимпопо в порядке убывания длины:;Лимпопо, Хуанхе, Лена;Лена, Хуанхе, Лимпопо;Хуанхе, Лена, Лимпопо;Ни один из перечисленных вариантов;Хуанхе, Лена, Лимпопо;0;3;5;1;35
2;В озере есть участок, покрытый кувшинками. Каждый день заросли кувшинок удваиваются в размере. Если кувшинкам нужно 48 дней, чтобы покрыть всю поверхность озера, через сколько дней они будут покрывать половину озера?;;;;;47;1;47;1;80;3
3;5 машин производят 5 изделий за 5 минут. За какое время (в минутах) 100 машин произведут 100 изделий?;;;;;5;1;5;1;79;2
4;Грот-мачта - это;вторая от носа мачта на судне;самая высокая мачта на судне;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;Варианты 1 и 2 оба верные;0;3;2;86;20
5;"Автор повести ""Очарованный странник""";Михаил Салтыков-Щедрин;Иван Тургенев;Максим Горький;Ни один из вариантов 1-3 не верен;Ни один из вариантов 1-3 не верен;0;4;2;91;19
6;В трех ящиках лежат орехи. В первом ящике на 6 кг орехов меньше, чем в двух других вместе. А во втором — на 10 кг меньше, чем в двух других вместе. Сколько орехов в третьем ящике?;;;;;8;1;8;1;14;6
7;Тычинка - это;мужской орган цветка;женский орган цветка;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;мужской орган цветка;0;1;2;52;11
8;Бейсбольная бита и мяч вместе стоят $1.10 (один доллар и 10 центов). Бита ровно на доллар дороже, чем мяч. Сколько стоит мяч (в центах)?;;;;;5;1;5;1;78;1
9;Пестик - это;мужской орган цветка;женский орган цветка;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;женский орган цветка;0;2;2;53;15
10;"Режиссер фильма ""Сладкая жизнь""";Микеланджело Антониони;Лукино Висконти;Федерико Феллини;Витторио Де Сика;Федерико Феллини;0;3;3;17;24
11;На трёх ёлках сидели 27 птиц. Когда с первой ёлки на вторую перелетели 5 птиц, а со второй на третью перелетели 3 птицы, то птиц на трёх ёлках стало поровну. Сколько птиц сидело сначала на второй ёлке?;;;;;7;1;7;1;72;4
12;"Какой период сталинского правления называется ""большим террором""?";1929-30;1952-53;1934-35;1937-38;1937-38;0;4;4;39;29
13;Имя террориста-народовольца, бросившего бомбу, убившую Александра II;Александр Ильич Ульянов;Софья Львовна Перовская;Андрей Иванович Желябов;Игнатий Иоахимович Гриневицкий;Игнатий Иоахимович Гриневицкий;0;4;4;11;32
14;На лужайке росли 35 жёлтых и белых одуванчиков. После того как 8 белых облетели, а 2 жёлтых побелели, жёлтых одуванчиков стало вдвое больше, чем белых. Сколько белых одуванчиков росло на лужайке вначале?;;;;;15;1;15;1;40;8
15;Скорость самой быстрой акулы, км/ч;31;56;69;73;56;0;2;6;4;39
16;У брата есть 6 двухкопеечных монет, а у сестры 10 трёхкопеечных монет. Сколько своих монет сестра должна отдать брату, чтобы денег у них стало поровну?;;;;;3;1;3;1;58;5
17;Отличник Поликарп и двоечник Колька составляли минимальное 5-значное число, которое состоит из различных чётных цифр. Поликарп своё число составил правильно, а Колька ошибся. Однако оказалось, что разность между Колькиным числом и правильным ответом меньше 100. Какое число составил Колька?;;;;;20486;1;20486;1;8;10
18;Лига - это;союз, организация с общественно политическими целями, чаще международного характера;музыкальный знак в виде дуги над нотами, указывающий, что их надоисполнять связно, без перерыва.;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;Варианты 1 и 2 оба верные;0;3;2;68;14
19;Третья по удаленности от солнца планета солнечной системы;Земля;Меркурий;Венера;Сатурн;Земля;0;1;5;46;37
20;Кто в 1204 завоевал Константинополь?;Крестоносцы;Турки-османы;Арабы;Скифы;Крестоносцы;0;1;4;36;28
21;Три бегуна — Антон, Серёжа и Толя — участвуют в беге на 100 м. Когда Антон финишировал, Серёжа находился в десяти метрах позади него, а когда финишировал Серёжа — Толя находился позади него в десяти метрах. На расстоянии скольких метров друг от друга находились Толя и Антон, когда Антон финишировал? (Предполагается, что все мальчики бегут с постоянными, но, конечно, не равными скоростями.);;;;;19;1;19;1;28;7
22;Расположите исторические события в хронологическом порядке:;Битва при Гастингсе, Ледовое побоище, завоевание Константинополя крестоносцами;Ледовое побоище, завоевание Константинополя крестоносцами, битва при Гастингсе;Битва при Гастингсе, завоевание Константинополя крестоносцами, Ледовое побоище;Ни один из вариантов 1-3 не верен;Битва при Гастингсе, завоевание Константинополя крестоносцами, Ледовое побоище;0;3;4;1;27
23;Роман Э. Хемнигуэя, посвященный гражданской войне в Испании;"""Прощай, оружие""";"""Фиеста""";"""По ком звонит колокол""";"""На Западном фронте без перемен""";"""По ком звонит колокол""";0;3;2;7;18
24;Кто из актеров выигрывал профессиональные автомобильные гонки?;Клинт Иствуд;Пол Ньюман;Шон Коннери;Ни один из вышеперечисленных;Пол Ньюман;0;2;3;32;25
25;Радиус Земли:;6378 км;5013 км;9645 км;7801 км;6378 км;0;1;5;10;33
26;"Режиссер фильма ""Летят журавли""";Михаил Ромм;Григорий Козинцев;Михаил Калатозов;Иван Пырьев;Михаил Калатозов;0;3;3;15;23
27;"Автор строк 
""Среди миров, в мерцании светил
Одной Звезды я повторяю имя...""";Арсений Тарковский;Николай Заболоцкий;Осип Мандельштам;Ни один из вариантов 1-3 не верен;Ни один из вариантов 1-3 не верен;0;4;2;43;21
